Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
92,Josh Hart,SF,30,NYK,19,19,614,75,174,.431,28,86,.326,47,88,.534,.511,20,33,.606,22,148,170,87,32,4,36,51,198,hartjo01
93,Isaiah Hartenstein,C,27,OKC,15,15,350,57,90,.633,0,1,.000,57,89,.640,.633,23,30,.767,50,75,125,39,12,10,26,48,137,harteis01
94,Sam Hauser,PF,28,BOS,7,6,164,19,46,.413,16,38,.421,3,8,.375,.587,0,0,,9,21,30,6,1,1,2,10,54,hausesa01
95,Jaxson Hayes,C,25,LAL,10,0,163,19,28,.679,0,1,.000,19,27,.704,.679,19,27,.704,15,17,32,7,3,8,10,27,57,hayesja02
96,Scoot Henderson,PG,21,POR,5,5,145,28,59,.475,13,28,.464,15,31,.484,.585,6,8,.750,2,6,8,6,4,1,9,17,75,hendesc01
97,Buddy Hield,SG,33,ATL,2,0,13,4,5,.800,2,2,1.000,2,3,.667,1.000,0,0,,0,2,2,0,0,0,2,0,10,hieldbu01
98,Haywood Highsmith,SF,29,PHO,2,0,11,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,2,3,1,0,0,2,0,0,highsha01
99,Aaron Holiday,PG,29,HOU,6,0,67,6,22,.273,4,15,.267,2,7,.286,.364,0,0,,0,2,2,3,2,1,3,6,16,holidaa01
100,Jrue Holiday,PG,35,POR,5,5,192,31,77,.403,12,34,.353,19,43,.442,.481,8,9,.889,8,19,27,36,7,2,16,15,82,holidjr01
101,Ron Holland,SF,20,DET,9,0,58,4,13,.308,2,8,.250,2,5,.400,.385,3,5,.600,1,13,14,1,4,2,3,9,13,hollaro01
102,DaRon Holmes,PF,23,DEN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,holmeda01
103,Chet Holmgren,PF,23,OKC,15,15,459,83,146,.568,15,42,.357,68,104,.654,.620,43,52,.827,30,93,123,17,16,22,20,34,224,holmgch01
104,Jett Howard,SF,22,ORL,1,0,3,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,howarje01
105,Kevin Huerter,SG,27,DET,5,0,46,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,0,5,5,7,2,0,2,2,6,huertke01
106,Ariel Hukporti,C,23,NYK,10,0,76,5,11,.455,0,1,.000,5,10,.500,.455,7,15,.467,14,18,32,3,2,7,5,18,17,hukpoar01
107,Bones Hyland,PG,25,MIN,10,0,116,15,50,.300,9,34,.265,6,16,.375,.390,7,8,.875,3,10,13,15,4,1,8,11,46,hylanbo01
108,Oso Ighodaro,PF,23,PHO,4,4,129,13,24,.542,0,0,,13,24,.542,.542,4,6,.667,12,16,28,16,2,3,7,15,30,ighodos01
109,Joe Ingles,SF,38,MIN,3,0,14,2,3,.667,2,3,.667,0,0,,1.000,1,2,.500,1,1,2,0,2,0,1,0,7,inglejo01
110,Brandon Ingram,SF,28,TOR,5,5,148,19,58,.328,5,13,.385,14,45,.311,.371,17,23,.739,2,14,16,11,3,4,10,10,60,ingrabr01
111,Trayce Jackson-Davis,C,25,TOR,3,0,4,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,0,1,0,0,0,1,2,2,jackstr02
112,Bronny James,SG,21,LAL,8,0,42,5,10,.500,2,6,.333,3,4,.750,.600,0,0,,3,0,3,7,1,0,4,5,12,jamesbr02
113,LeBron James,SF,41,LAL,10,10,384,84,183,.459,17,52,.327,67,131,.511,.505,47,63,.746,4,63,67,73,13,3,38,16,232,jamesle01
