Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
195,Jae'Sean Tate,SF,30,HOU,5,0,30,3.6,12.0,.300,0.0,4.8,.000,3.6,7.2,.500,4.8,7.2,.667,7.2,4.8,12.0,0.0,1.2,0.0,0.0,9.6,12.0,tateja01
196,Jayson Tatum,PF,27,BOS,6,6,218,7.9,16.7,.475,3.1,8.6,.365,4.8,8.1,.592,4.1,5.3,.781,1.0,9.6,10.6,6.8,1.2,0.0,2.8,1.8,23.1,tatumja01
197,Garrett Temple,SG,39,TOR,2,0,2,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,templga01
198,Dalen Terry,SG,23,PHI,7,0,39,3.7,12.0,.308,1.8,4.6,.400,1.8,7.4,.250,2.8,6.5,.429,0.0,3.7,3.7,6.5,4.6,0.0,1.8,2.8,12.0,terryda01
199,Adou Thiero,SF,21,LAL,6,0,34,3.2,6.4,.500,0.0,2.1,.000,3.2,4.2,.750,3.2,6.4,.500,5.3,7.4,12.7,1.1,0.0,0.0,4.2,5.3,9.5,thierad01
200,Amen Thompson,PG,23,HOU,6,6,264,5.7,11.7,.488,0.3,1.1,.250,5.5,10.6,.513,4.0,5.6,.707,2.0,3.7,5.7,4.6,1.6,1.0,2.0,2.6,15.7,thompam01
201,Ausar Thompson,SF,23,DET,14,14,427,4.1,8.2,.505,0.1,0.6,.143,4.0,7.6,.533,1.3,2.6,.516,3.8,5.5,9.3,3.7,2.4,2.1,1.9,3.5,9.7,thompau01
202,Matisse Thybulle,SG,28,POR,4,0,53,1.4,9.5,.143,0.7,7.5,.091,0.7,2.0,.333,1.4,1.4,1.000,0.7,4.8,5.4,2.7,2.0,2.0,0.0,2.0,4.8,thybuma01
203,Nae'Qwan Tomlin,PF,25,CLE,7,0,19,7.6,11.4,.667,0.0,0.0,,7.6,11.4,.667,1.9,3.8,.500,7.6,1.9,9.5,3.8,1.9,0.0,1.9,5.7,17.1,tomlina01
204,Nikola Topić,PG,20,OKC,9,0,22,3.3,9.8,.333,0.0,3.3,.000,3.3,6.5,.500,0.0,0.0,,0.0,3.3,3.3,4.9,3.3,0.0,3.3,1.6,6.5,topicni01
205,Karl-Anthony Towns,C,30,NYK,19,19,578,6.4,11.6,.551,1.6,3.6,.456,4.8,8.1,.592,4.4,4.8,.909,3.0,9.5,12.5,5.9,1.5,1.5,3.1,4.8,18.8,townska01
206,Jaylon Tyson,SG,23,CLE,17,0,216,4.2,11.5,.362,1.5,6.3,.237,2.7,5.2,.516,1.7,2.5,.667,2.2,5.7,7.8,3.7,0.5,0.2,1.8,4.3,11.5,tysonja01
207,Jonas Valančiūnas,C,33,DEN,4,0,25,7.2,10.1,.714,0.0,0.0,,7.2,10.1,.714,1.4,2.9,.500,4.3,8.6,13.0,1.4,0.0,1.4,7.2,15.8,15.8,valanjo01
208,Jarred Vanderbilt,PF,26,LAL,7,0,75,4.3,10.6,.409,0.5,4.3,.111,3.8,6.2,.615,0.5,1.4,.333,2.4,9.1,11.5,1.0,1.0,0.0,0.5,5.8,9.6,vandeja01
209,Devin Vassell,SG,25,SAS,23,23,801,4.7,10.9,.432,2.5,6.7,.378,2.2,4.3,.516,1.4,1.8,.821,0.9,4.6,5.5,2.8,1.3,0.8,1.0,2.1,13.4,vassede01
210,Gabe Vincent,PG,29,ATL,6,0,93,3.1,8.5,.364,2.3,7.0,.333,0.8,1.5,.500,1.5,1.9,.800,1.2,0.0,1.2,2.7,0.8,0.4,1.2,3.9,10.1,vincega01
211,Nikola Vučević,C,35,BOS,6,0,114,4.4,11.7,.378,2.2,7.6,.292,2.2,4.1,.538,0.6,1.3,.500,1.6,6.6,8.2,4.4,0.3,0.9,2.5,4.7,11.7,vucevni01
